foodid,foodname,calories
1,Cows' milk,0.676
2,Milk skim,0.366
3,Buttermilk,0.516
4,"Evaporated, undiluted",1.369
5,Fortified milk,0.968
6,Powdered milk,5.0
7,"skim, instant",3.412
8,"skim, non-instant",3.412
9,Goats' milk,0.676
10,(1/2 cup ice cream),1.278
11,Cocoa,0.933
12,skim. milk,0.512
13,(cornstarch),1.109
14,Custard,1.149
15,Ice cream,1.596
16,Ice milk,1.447
17,Cream or half-and-half,1.417
18,or whipping,3.613
19,Cheese,1.067
20,uncreamed,0.867
21,Cheddar,4.118
22,"Cheddar, grated cup",4.036
23,Cream cheese,3.75
24,Processed cheese,3.75
25,Roquefort type,3.75
26,Swiss,3.75
27,Eggs raw,1.5
28,Eggs Scrambled or fried,1.719
29,Yolks,3.529
30,Butter,7.143
31,Butter,1.009
32,Butter,1.009
33,Hydrogenated cooking fat,6.65
34,Lard,9.018
35,Margarine,7.196
36,"Margarine, 2 pat or",7.143
37,Mayonnaise,7.333
38,Corn oil,8.929
39,Olive oil,8.929
40,Safflower seed oil,8.929
41,French dressing,4.0
42,Thousand Island sauce,5.0
43,Salt pork,7.833
44,Bacon,5.938
45,Beef,2.882
46,Hamburger,2.882
47,Ground lean,2.176
48,Roast beef,4.588
49,Steak,3.882
50,"Steak, lean, as round",2.588
51,Corned beef,2.176
52,Corned beef hash canned,1.412
53,Corned beef hash Dried,2.054
54,Pot-pie,2.115
55,Corned beef hash Stew,0.787
56,chicken,2.176
57,"Fried, breast or leg and thigh chicken",2.882
58,Roasted chicken,2.9
59,"Chicken livers, fried",1.4
60,"Duck, domestic",3.7
61,"Lamb, chop, broiled",4.174
62,Leg roasted,3.651
63,"Shoulder, braised",3.353
64,"Pork, chop, 1 thick",2.6
65,Ham pan-broiled,3.412
66,"Ham, as ",2.982
67,"Ham, canned, spiced",2.895
68,Pork roast,3.647
69,Pork sausage,4.75
70,Turkey,2.65
71,Veal,2.176
72,Roast,3.588
73,Clams,1.024
74,Cod,1.7
75,Crab meat,1.059
76,Fish sticks fried,1.786
77,Flounder,2.0
78,Haddock,1.588
79,Halibut,1.82
80,Herring,2.11
81,Lobster,0.92
82,Mackerel,1.824
83,Oysters,1.004
84,Oyster stew,1.471
85,Salmon,1.412
86,Sardines,2.118
87,Scallops,1.04
88,Shad,2.0
89,Shrimp,1.294
90,Swordfish,1.8
91,Tuna,2.0
92,Artichoke,0.44
93,Asparagus,0.188
94,Beans,0.2
95,Lima,0.875
96,"Lima, dry, cooked",1.354
97,"Navy, baked with pork",1.25
98,Red kidney,0.885
99,Bean sprouts,0.34
100,Beet greens,0.27
101,Beetroots,0.006
102,Broccoli,0.3
103,Brussels sprouts,0.462
104,Sauerkraut,0.213
105,Steamed cabbage,0.235
106,Carrots,0.3
107,"Raw, grated",0.409
108,"Strips, from raw",0.4
109,Cauliflower,0.25
110,Celery,0.2
111,Stalk raw,0.125
112,Chard steamed,0.2
113,Collards,0.34
114,Corn,0.92
115,cooked or canned,0.85
116,Cucumbers,0.12
117,Dandelion greens,0.444
118,Eggplant,0.167
119,Endive,0.175
120,Kale,0.409
121,Kohlrabi,0.286
122,"Lambs quarters, steamed",0.32
123,Lentils,1.06
124,Lettuce,0.14
125,Iceberg,0.13
126,Mushrooms canned,0.1
127,Mustard greens,0.214
128,Okra,0.32
129,Onions,0.381
130,"Raw, green",0.44
131,Parsley,0.04
132,Parsnips,0.613
133,Peas,0.66
134,"Fresh, steamed peas",0.7
135,Frozen peas,0.0
136,Split cooked peas,1.15
137,heated peas,0.53
138,Peppers canned,0.263
139,"Peppers Raw, green, sweet",0.25
140,Peppers with beef and crumbs,1.7
141,"Potatoes, baked",1.0
142,French-fried,2.583
